,CA_Sol_Jmo_PJ25_1,CA_Sol_Jmo_PJ25_10,CA_Sol_Jmo_PJ25_11,CA_Sol_Jmo_PJ25_12,CA_Sol_Jmo_PJ25_13,CA_Sol_Jmo_PJ25_14,CA_Sol_Jmo_PJ25_15,CA_Sol_Jmo_PJ25_16,CA_Sol_Jmo_PJ25_17,CA_Sol_Jmo_PJ25_18,CA_Sol_Jmo_PJ25_19,CA_Sol_Jmo_PJ25_2,CA_Sol_Jmo_PJ25_21,CA_Sol_Jmo_PJ25_22,CA_Sol_Jmo_PJ25_23,CA_Sol_Jmo_PJ25_3,CA_Sol_Jmo_PJ25_4,CA_Sol_Jmo_PJ25_5,CA_Sol_Jmo_PJ25_6,CA_Sol_Jmo_PJ25_7,CA_Sol_Jmo_PJ25_8,CA_Sol_Jmo_PJ25_9,CA_Sol_Jmo_PJ26_1,CA_Sol_Jmo_PJ26_10,CA_Sol_Jmo_PJ26_11,CA_Sol_Jmo_PJ26_12,CA_Sol_Jmo_PJ26_13,CA_Sol_Jmo_PJ26_14,CA_Sol_Jmo_PJ26_15,CA_Sol_Jmo_PJ26_16,CA_Sol_Jmo_PJ26_17,CA_Sol_Jmo_PJ26_18,CA_Sol_Jmo_PJ26_19,CA_Sol_Jmo_PJ26_2,CA_Sol_Jmo_PJ26_20,CA_Sol_Jmo_PJ26_21,CA_Sol_Jmo_PJ26_22,CA_Sol_Jmo_PJ26_23,CA_Sol_Jmo_PJ26_24,CA_Sol_Jmo_PJ26_3,CA_Sol_Jmo_PJ26_4,CA_Sol_Jmo_PJ26_5,CA_Sol_Jmo_PJ26_6,CA_Sol_Jmo_PJ26_7,CA_Sol_Jmo_PJ26_8,CA_Sol_Jmo_PJ26_9
CA_Sol_Jmo_PJ26_17,1.33105655295759,1.40516452511131,1.31218638896617,1.44672671221679,2.09818308830721,1.34924037504303,1.87180217690159,1.15904463976501,0.834619666643701,NA,NA,1.55334844578306,NA,1.46633706879343,NA,2.58381952145296,2.56494935746154,0.887110924281364,1.70325827156988,NA,0.866699927021236,1.17865499634165,1.09792594676212,NA,NA,NA,0.845420119811838,1.36668400454325,NA,NA,0,NA,1.48520723278485,2.79133026886715,1.51332709194629,NA,1.29257603238953,NA,NA,0.879071429214535,1.05672921347904,NA,NA,NA,1.04126160410862,NA
CA_Sol_Jmo_PJ26_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ26_19,1.68639895357023,1.09861228866811,1.48520723278485,1.46559687620821,1.51091744872831,1.92772632696988,1.26206368147064,2.15874405676816,1.34992671694902,NA,NA,1.66752878957881,NA,1.48520723278485,NA,1.50407739677627,1.02567490340641,1.17791480375643,3.3315663479954,NA,0.934360255182092,1.33105655295759,1.36811053903445,NA,NA,NA,1.07559937747047,1.06013176810005,NA,NA,1.48520723278485,NA,0,1.82937117984685,0.562796698749609,NA,0.654666659991881,NA,NA,1.50407739677627,1.01844096363052,NA,NA,NA,0.772449695648265,NA
CA_Sol_Jmo_PJ26_2,0.817770268168369,1.26975539191143,0.798900104176945,1.23127487134336,0.995428052432879,1.36204718615059,0.945503578368821,1.47243692816025,1.82937117984685,NA,NA,1.25088522792,NA,1.05672921347905,NA,0.773318505597535,1.58735746454122,1.0371188569024,1.86510066183792,NA,2.05816173447044,1.05672921347905,1.09378319955591,NA,NA,NA,1.63141681915288,1.23127487134336,NA,NA,2.79133026886715,NA,1.82937117984685,0,1.14187100259628,NA,1.56774710796457,NA,NA,1.34386336406515,0.93826963859293,NA,NA,NA,1.38542555117062,NA
CA_Sol_Jmo_PJ26_20,0.839050075377767,0.839050075377767,1.02085060684849,1.0583986641118,0.758878750340177,1.64569125782747,0.915490091190668,1.32666265070648,1.03972077083992,NA,NA,1.13863364250488,NA,0.653125826723177,NA,0.985653549569642,0.866699927021236,1.32666265070648,2.1740625414991,NA,1.09861228866811,0.820179911386343,1.30921902120626,NA,NA,NA,1.90401105464318,0.947173029001578,NA,NA,1.51332709194629,NA,0.562796698749609,1.14187100259628,0,NA,0.672736183299818,NA,NA,1.62750743574204,1.36501455391049,NA,NA,NA,1.25255467855276,NA
CA_Sol_Jmo_PJ26_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ26_22,1.11729018193999,0.772449695648265,1.29257603238953,1.07880966137193,1.09774347871884,1.19609862584187,1.62904826901074,1.42711635564015,1.31144619638095,NA,NA,0.987194382838346,NA,1.36668400454325,NA,1.75327894865999,1.36668400454325,0.967584026261706,1.78900843065106,NA,1.25255467855276,1.36668400454325,1.19609862584187,NA,NA,NA,1.56774710796457,0.967584026261706,NA,NA,1.29257603238953,NA,0.654666659991881,1.56774710796457,0.672736183299818,NA,0,NA,NA,1.17791480375643,1.38542555117062,NA,NA,NA,0.82098055206983,NA
CA_Sol_Jmo_PJ26_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ26_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ26_3,0.897941593205959,0.810930216216329,0.712017344551369,1.11729018193999,2.81020043285858,0.916125415291396,1.89067234089301,0.954771252442219,1.09861228866811,NA,NA,1.02567490340641,NA,1.07974212467669,NA,2.19722457733622,1.66752878957881,0.549306144334055,2.63841916743546,NA,0.794598312806933,1.13690053851663,0.369581708923326,NA,NA,NA,0.689936896658484,1.242453324894,NA,NA,0.879071429214535,NA,1.50407739677627,1.34386336406515,1.62750743574204,NA,1.17791480375643,NA,NA,0,0.507615339864529,NA,NA,NA,1.00606454682977,NA
CA_Sol_Jmo_PJ26_4,1.1362239992869,1.42390607173868,0.671066732667061,1.30538284349708,1.52605630349505,1.15440782137234,1.18189235643305,1.16228199985641,0.913080447972694,NA,NA,1.25088522792,NA,0.945503578368821,NA,1.60622762853264,1.40503590774726,0.87459992740463,2.55824784239787,NA,0.854188930144502,0.999570799639096,0.748942713264176,NA,NA,NA,0.93826963859293,1.47243692816025,NA,NA,1.05672921347904,NA,1.01844096363052,0.93826963859293,1.36501455391049,NA,1.38542555117062,NA,NA,0.507615339864529,0,NA,NA,NA,2.07857273173057,NA
CA_Sol_Jmo_PJ26_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_Sol_Jmo_PJ26_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
